cleaned_text,sentiment
operating profit eurmarket neutralup eurmarket neutral,positive
ramirent net sale second quarterended june euro million million percent increase compare euro million thesecond quarter last year,positive
revenue grow percent xac million million xac million,positive
ruukki delivery volume selling price show favourable development company comparable net sale grow percentage yearonyear eurm ceo sakari tamminen say,positive
company consolidate operating profit amount eurmarket neutralup eurmarket neutralyearonyear,positive
department store division report increase sale per cent,positive
fair value company investment property grow eur billion end march eur million year ago,positive
last quarter best quarter net sale operate margin rise percentage,positive
major brewery increase domestic beer sale per cent last year million litre million litre,positive
operating profit rise percentage eur million,positive
october finnish fishing tackle company rapala vmc corp hel rapv say today net profit rise eur first nine month eur period year earlier,positive
accord finnish metso mineral value company order eur month,positive
finnish bank land report operating profit rise eurmarket neutralin second quarter eurmarket neutralin corresponding period,positive
finnish financial group aktia operate profit increase eurmarket neutralfrom eurmarket neutralin,positive
finnish forest machinery manufacturer ponsse net sale grow eurmarket neutralin first quarter eurmarket neutralin corresponding period,positive
finnish kci konecranes raise net sale growth estimate percentage percentage,positive
accord hkscan finland plan increase jrvisuomen portti net sale eurmarket neutralto eurmarket neutral,positive
advertise circulation revenue grow percentage percentage respectively,positive
end march group order book eurmarket neutralup percentage corresponding period,positive
time profit company increase percentage reach,positive
operating profit net sale month period increase respectively eur eur compare financial year,positive
operating profit net sale month period increase respectively eur eur compare financial year,positive
operating profit net sale month period increase respectively eur eur compare,positive
operating profit net sale month period increase respectively eur eur compare,positive
operating profit net sale ninemonth period increase respectively percentage percentage compare corresponding period,positive
operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,positive
operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,positive
operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,positive
operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,positive
operating profit net sale threemonth period increase respectively eur eur compare corresponding period,positive
operating profit net sale threemonth period increase respectively eur eurm compare corresponding quarter,positive
operating profit sale threemonth period increase respectively eur eur compare corresponding period,positive
operating profit turnover ninemonth period increase respectively eur eur compare corresponding period year ago,positive
operating profit turnover sixmonth period increase respectively eur eur compare corresponding period,positive
operating profit turnover sixmonth period increase respectively eur eur compare corresponding period year ago,positive
cargo volume increase approximately percentage,positive
comparable operating profit total eurmarket neutralup eurmarket neutralin,positive
digia say consolidated net sale januaryjune eur percentage period eur,positive
dilute earnings per share eps rise eur eur,positive
dilute earnings per share eps rise eur versus eur,positive
dilute earnings per share eps rise eur eur,positive
dilute earnings per share eps rise eur eur,positive
dilute eps rise eur eur,positive
ebit margin percentage percentage,positive
eps continue operation come eur,positive
equity ratio percentage compare percentage third quarter net sale freeze food business total eur percentage third quarter,positive
eur may finnish textile clothe design company marimekko oyj hel mmov say today net profit rise eur first quarter eur correspond period year earlier,positive
finlandbased elcoteq privately hold provider electronics manufacture service communication company say thursday sign longterm manufacturing supply deal communication equipment company andrew corp,positive
finnish cutlery hand tool maker fiskars oyj abp hel fisa say today net profit rise eur million usd third quarter eur million year earlier,positive
finnish department store chain stockmann oyj abp net profit rise tomillioneuromillionfor first nine month frommillioneuromillionfor period,positive
finnish lifting equipment maker konecranes oyj say july net profit rise tomillioneuromillionfor first half frommillioneuromillionfor period,positive
finnish metal industry solution supplier outotec oyj net profit rise tomillioneuromillionfor first nine month frommillioneuromillionfor period,positive
finnish metal product company componenta oyj net profit rise tomillioneuromillionfor first quarter frommillioneuromillionfor period,positive
finnish office supply computer accessory dealer belttongroup plc say net profit rise tomillioneuromillionin frommillioneuromillionin,positive
finnish security privacy software solution developer stonesoft oyj say january preliminary sale stonegate product grow percentage yearonyear tomillioneuromillionfor fourth quarter,positive
finnish silicon wafer technology company okmetic oyj omx helsinki okmv report thursday august operating profit eur period januaryjune eur correspond period,positive
finnish software developer solution oyj say net profit increase tomillioneuromillionin frommillioneuromillionin,positive
first quarter underlie operating profit rise tomillioneur frommilliona year earlier,positive
first nine month company net profit rise eurm eurm corresponding period,positive
helsinki afx retail wholesale group kesko report net sale ofmillioneur february increase percentage yearonyear,positive
however net sale see grown eur eur,positive
however sale return growth apriljune ceo pekka eloholma say,positive
ragutis control finnish brewery report percent rise beer sale million litre hold percent market share,positive
svyturysutenos alus controlled nordic group baltic beverage hold bbh post percent growth beer sale januarymay million litre,positive
december alone member lithuanian brewer association sell total million liter beer increase percent sale million liter december,positive
januaryseptember group net interest income increase eurmarket neutralfrom eurmarket neutralin januaryseptember,positive
bank land net interest income increase eurmarket neutralto eurmarket neutral,positive
sweden operating profit period review total eurmarket neutralup percentage corresponding period,positive
fourth quarter orion net profit percentage yearonyear eurm,positive
second quarter group net profit rise eur million eur million apriljune,positive
second quarter group net profit rise eur eur apriljune,positive
third quarter net sale increase percentage yearonyear eur million percentage comparable currency rate growth,positive
third quarter net sale increase percentage yearonyear eur percentage comparable currency rate growth,positive
market share widen percent percent year earlier,positive
kesko agro eesti retailer wholesaler grain agricultural warehouse machinery accessory net sale million euro increase onetenth precede year,positive
kesko car import retailing business vvauto saw sale grow percentage,positive
kone net sale rise percentage yearonyear first nine month,positive
adp news feb finnish management software solution provider ixonos oyj hel xnsv say today net profit rise eur million usd eur million,positive
adp news feb finnish solution provider affecto oyj hel afev say today net profit rise eur million usd eur million,positive
adp news feb finnish fishing tackle company rapala vmc corp hel rapv say today net profit rise eur million usd eur million,positive
adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias say today net profit rise eur million usd first nine month eur,positive
adp news oct finnish lifting equipment maker konecranes oyj omx kcrv say today net profit rise eur million usd first nine month eur million,positive
metso expect net sale increase percentage comparable exchange rate,positive
net interest income increase percentage eurmarket neutralfrom eurmarket neutralin,positive
net interest income eurmarket neutralup eurmarket neutralin,positive
net interest income eurmarket neutralup eurmarket neutral,positive
net sale vegetable oil business rise eurmarket neutralfrom eurmarket neutral,positive
nokia multimedia net sale total eur percentage corresponding period,positive
operate income rise eurmarket neutralfrom eurmarket neutralin,positive
operating profit kauppalehti group rise eurmarket neutralfrom eurmarket neutraland marketplace eurmarket neutralfrom eurmarket neutralin third quarter,positive
operating profit rise eurmarket neutralto eurmarket neutral,positive
operating profit rise tomillioneur frommillion,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eurmarket neutralfrom eur corresponding period,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eurmarket neutralfrom eurmarket neutral,positive
operating profit rise eurmarket neutralfrom eurmarket neutral,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eur eur year earlier,positive
operating profit surge eurm eur,positive
operating profit total eurmarket neutralup slightly eurmarket neutralin corresponding period,positive
operating profit total eurmarket neutralup eurmarket neutral,positive
operating profit eurmarket neutralup eurmarket neutral,positive
operating profit eurmarket neutralup percentage eurmarket neutral,positive
order intake grow percentage yearonyear percentage yearonyear respectively eur million eur billion respective januaryseptember julyseptember period,positive
order receive grow percentage yearonyear eurm,positive
orion pharma operating profit increase percentage,positive
passenger volume rise percentage accounting period,positive
passengerrelated revenue rise percentage eurmarket neutralfrom eurmarket neutralin,positive
pretax profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
pretax profit rise eurmarket neutralfrom eur corresponding period,positive
pretax profit rise eurmarket neutralfrom eurmarket neutralin,positive
pretax profit total eurmarket neutralup eurmarket neutral,positive
profit period total eurmarket neutralup eurmarket neutralin corresponding period,positive
profit period eurmarket neutralup eurmarket neutral,positive
profit period eurmarket neutralup eurmarket neutralin,positive
revenue grow percent xac billion billion,positive
revenue july september grow percent euro million year earlier company say thursday,positive
revenue time grow percent million euro,positive
sale latin america increase percentage eurmarket neutraland total ofmarket neutralmobile device sell area represent increase percentage corresponding period,positive
sanoma magazine finland net sale grow eurmarket neutralfrom eurmarket neutral,positive
satama net profit third quarter rise euro euro period,positive
section regional news demand finnair asian traffic measure passenger kilometer percentage august compare last year,positive
svyturysutenos alus controlled nordic group baltic beverage hold bbh post percent growth beer sale januaryseptember million liter,positive
would increase estimate sale million last year,positive
chain post sale million euro full rise percent yearonyear,positive
company expect net sale increase percentage,positive
company operate income ebit total eurmarket neutralup eurmarket neutralyearonyear,positive
eps outlook increase percentage percentage,positive
fair value investment property total eurmarket neutralup eurmarket neutralin,positive
finnish government announce wednesday sell percent stake chemical fertilizer group kemira oyj xac million million send company share price percent,positive
helsinkibased company also own salomon atomic suunto brand say net profit rise percent three month dec xac million million xac million year earlier,positive
operating profit grain trading increase eurmarket neutralfrom eurmarket neutralin,positive
stock rise second day wednesday bring twoday rise gbx percentage,positive
stock rise third day tuesday bring threeday rise gbx percentage,positive
transaction would increase earnings per share first quarter eur,positive
total operating revenue grow percentage yearonyear eurm,positive
vacon cash flow operation grow eurmarket neutralfrom eurmarket neutrala year ago,positive
basware product sale grow strongly financial period percent,positive
february finnish textile clothing company marimekko oyj hel mmov say today preliminary operating profit grow eur eur,positive
affecto expect net sale whole increase level reach eur million,positive
cash flow operation rise eurmarket neutralfrom eurmarket neutralin,positive
commission income rise percentage eurmarket neutralfrom eurmarket neutralin,positive
earnings per share januaryjune eur increase percentage yearonyear eur,positive
earnings per share eps rise eur eur,positive
elisa say mobile subscription grow percent mainly customer adopt socalled third generation mobile technology,positive
eps quarter come eur eur year ago ahead forecast eur,positive
eps grow eur eur,positive
export grow percent million liter,positive
finnish investment group panostaja oyj say net profit tomillioneuromillionin fiscal end october frommillioneuromillionin period fiscal,positive
finnish metal component supplier componenta oyj say net profit tomillioneuromillionin frommillioneuromillionin,positive
finnish silicon wafer technology company okmetic oyj omx helsinki okmv report thursday october operating profit eur januaryseptember eur correspond period,positive
fiskars brand report net sale eurmarket neutralup eurmarket neutral,positive
however proportion pay stand order grow,positive
januaryseptember group net sale continue operation rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
julyseptember yit net sale increase eurmarket neutralcompared eurmarket neutralin corresponding period,positive
report period net sale rise percentage yearonyear eur due business acquisition realize first half effect eur review period,positive
report period company operating profit grow percentage eur million,positive
last year net sale rise eur million eur million,positive
last year company raise turnover approximately million litas eurmillionfrom million litas,positive
marimekko group fullyear net sale estimate increase percentage,positive
net sale surge percentage eur million,positive
nevertheless market share rise percent percent year earlier,positive
octoberdecember sale weremillioneur percentage increase year year,positive
olvi control percent stake ragutis coq say annual report publish earlier year lithuanian brewery sale reach million euro last year rise percent million euro,positive
olvi expect sale market share increase first quarter,positive
operating profit increase eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit asian plant grow markedly,positive
operating profit total eurmarket neutralup eurmarket neutralin,positive
operating profit total eurmarket neutralup eurmarket neutralyearonyear,positive
production capacity increase tonne per year raw material continue recycle paper board,positive
profit period increase eurmarket neutralto eurmarket neutral,positive
profit per share eur eur,positive
return capital employ rise percentage point percentage,positive
revenue july september grow percent euro billion finnish company say thursday,positive
revenue grow percent euro million million euro million,positive
ruukki order book end percentage yearonyear percentage quarteronquarter,positive
sale finland rise percentage international growth percentage,positive
sale security system packaging increase slightly,positive
stora enso thirdquarter pretax profit double eurmarket neutral,positive
company market share continue increase,positive
company schedule traffic measure revenue passenger kilometre rpk grow percentage nearly percentage passenger carry scheduled flight february,positive
disposal autotank also strengthen aspo capital structure comment gustav nyberg ceo aspo,positive
earnings per share quarter come eur eur quarter year earlier,positive
economic occupancy rate sponda property portfolio rise percentage percentage,positive
group month operating profit grow percent million euro,positive
growth net sale first half percentage compare first half,positive
pretax profit group life insurance business increase eur million eur million,positive
pretax profit group life insurance business increase eurm eurm,positive
total delivery volume paper business tonne tonne,positive
value firm forestry hold increase sek,positive
turnover rise eurm eurm,positive
finnish talvivaara mining hel tlvv say thursday pick bofa merrill lynch jpmorgan nyse jpm joint bookrunners plan issue convertible note worth eurm usdm,neutral
mall part baltic pearl development project city petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company develop home people,neutral
vacon control percentage company via investment fund power fund eur usd,neutral
complete name shareholder otto henrik bernhard nyberg information amount share transfer corresponds percentage total number share aspo plc,neutral
data process unit collect data calculates rvr value provide data user via various interface,neutral
german commerzbank hamburg branch morgan nyse jpm participate arranger dutch ing inga coarranger,neutral
increase number share base option right grant management company stock option plan,neutral
office worldwide percentage net sale generate outside finland,neutral
branch finland annual revenue finland,neutral
nokia message enables customer receive email email account mobile phone support pop imap email service,neutral
share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,neutral
contract value amount eurm company add,neutral
aldata say still number operational aspect define microsoft detail product market initiative result agreement available later date,neutral
alexandria may kenneth bower vista calif develop ornamental design handset patent trademark office announce,neutral
biohit oyj develop manufacture market liquid handle product diagnostic test system use research healthcare industrial laboratory,neutral
ashley deputy executive chairman sport direct sell stake company pound time float,neutral
rental building equipment account percent operate income,neutral
ruukki delivery include steel structure include installation krakeroy bascule bridge steel pile bridge foundation,neutral
stockmann establish finland become first foreign company enter russia retail trade market,neutral
broadbased wig index end thursday session percentage bluechip wig,neutral
business divest generates consolidated net sale eur million annually currently employee,neutral
company generate net sale aboutmillioneuromillionannually employ,neutral
contract cover manufacturing surfacetreatment installation steel structure,neutral
order also include startup commissioning service,neutral
phone target first time user growth market,neutral
tielinja generate net sale ofmillioneuromillionin,neutral
tikkurila powder coat employee four paint plant generate revenue eur usd,neutral
rental agreement stockmann commit invest building bridge gogol street build underground tunnel cross street,neutral
vnh generate annual net sale aboutmillioneur employ people,neutral
jan ford struggle face slow truck suv sale surfeit uptodate gottahave car,negative
pharmaceutical group orion corp report fall thirdquarter earnings hit large expenditure marketing,negative
however growth margin slow due financial crisis,negative
helsinki afx nokian tyre report fourth quarter pretax profit ofmillioneur frommillionon back strong sale,positive
kalnapiliotauro grupe kalnapilistauras group own denmark royal unibrew raise market share percent percent beer sale seven month jump percent million liter,positive
company estimate net sale increase considerably operate result clearly positive,positive
uponor make operating profit eurmarket neutralup eurmarket neutralwhich make record year,positive
basware corporation stock exchange release august basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,positive
estimate operating profit improve third quarter,positive
ruukki forecast percentage annual sale growth positive pretax result,positive
sale rise percentage tomillioneur back strong volume favourable currency effect,positive
growth net sale continue favourably middle east africaand asia pacific,positive
appointment kaupthing bank aim coordinate capital market activity within group improve overall service client,positive
follow increase huhtamaki register share capital eur number share outstanding,neutral
helsinki october ssh communication security corp board director information please contact tomi laamanen chairman tel distribution nasdaq omx helsinki ltd,neutral
offer million share aim raise xac million million expect complete oct outokumpu say,neutral
theodosopoulos say tellabs could value nokia siemens nortel give lead supply status verizon along highgrowth product,positive
succeed increase market share sell apartment comment kari kauniskangas head yit international construction service,positive
capman partner able develop business continue focus provide quality restaurant service customer say christopher wynne ceo papa john russia,positive
finnish suominen corporation specialise wet wipe nonwovens flexible packaging report net sale eurmarket neutralin second quarter eurmarket neutralin second quarter,positive
finnish telecom software developer tecnomen oyj say december amillionmillioneuro order supply expansion charge message system mobile fix network brasil telecom,positive
adp news dec finnish construction engineering company outotec oyj omx otev say today eur million usd order expand phosphate concentrator siilinjarvi norwegian minera,positive
bank see potential getinge share rise,positive
company record revenue million fiscal year end december increase percentage,positive
robust growth result inclusion clothing chain lindex group december,positive
six brewery record percent growth domestic beer sale last year million liter million liter sell,positive
january ephc board director approve increase quarterly dividend per share,positive
bilfinger investor cheer agreement push share percentage euro euro afternoon trade,positive
london afx share rautaruukki corp upgrade hold sell abn amro price target raise eur say dealer,positive
london marketwatch nokia nok say fiveyear service contract run hutchison essar network operation nine location india,positive
progress group qpr representative saudi arabia north africa sign framework agreement long term strategic relationship ise,positive
ragutis control finnish brewery olvi achieve percent rise beer sale million liter hold percent market share,positive
addition cramo peab sign exclusive fiveyear rental agreement finland extend exist rental agreement swedish market another five year,positive
outotec oyj press release december outotec establish new subsidiary kolkata outotec establish subsidiary india order well serve indian customer increase business grow indian market,positive
original contract sign last summer,neutral
number collection error fell considerably operation speed,positive
second quarter group pretax loss narrow eur eur,positive
january finnish metal product company componenta oyj hel cthv say yesterday net loss narrow eur last quarter eur period year earlier,positive
may finnish liquid handle product diagnostic test system maker biohit oyj hel biobv say today may net loss narrow eur usd first quarter eur period,positive
finnish metal product company componenta oyj hel cthv say today net loss narrow eur usd last quarter eur million period year earlier,positive
finnish steel maker rautaruukki oyj hel rtrks ruukki say today net loss contract eur million usd first nine month eur million period year ago,positive
first nine month talvivaara net loss narrow eur million eur million period,positive
first nine month company net loss narrow eur eur million corresponding period,positive
first nine month company net loss narrow eur eur correspond period,positive
adp news feb finnish computer service company proha oyj hel artv say today net loss narrow eur usd eur million,positive
new factory work model reorganisation would decrease nokian tyre cost factory eur million usd,positive
october finnish metal product company componenta oyj hel cthv say yesterday net loss narrow eurm first nine month eur period,positive
finnish fiber plastic product maker suominen corporation say net loss narrow tomillioneuromillionin first nine month frommillioneuromillionin period,positive
second quarter raute net loss narrow eur eur million period,positive
adp news nov finnish print circuit board pcb maker aspocomp group oyj omx acgv say today net loss narrow eur million usd first nine month eur,positive
metsaliitto however narrowed net loss second quarter tomillioneuromillionfrommillioneuromilliona year ago,positive
narrow eur october finnish software hardware developer elektrobit oyj hel ebgv say today net loss narrow eur first nine month eur period year ago,positive
dilute loss per share narrow eur eur,positive
unit cost flight operation fell percent,positive
loss third quarter eurmarket neutralsmaller loss second quarter,positive
february finlandbased steel maker rautaruukki oyj hel rtrks ruukki say today slip largerthanexpected pretax loss eurm fourth quarter yearearlier profit eurm,negative
adpnews feb finlandbased steel maker rautaruukki oyj hel rtrks ruukki say today slip largerthanexpected pretax loss eur million usd fourth quarter,negative
result tax decrease nearly eurmarket neutralcompared nearly eurmarket neutralin previous accounting period,negative
company slip operating loss eur million profit eur million,negative
april finnish construction engineering company outotec oyj hel otev say today slip net loss eur first quarter net profit eur correspond period last year,negative
cramo slip pretax loss eur million pretax profit eur million,negative
finnish solution provider affecto oyj hel afev say today slip net loss eur usd second quarter profit eur correspond period year earlier,negative
comptel slip net loss eur profit eur previous year,negative
profit tax amount eurmarket neutraldown eurmarket neutralin,negative
adpnews feb finnish real estate investor sponda oyj hel sdav say today slip net loss eur million usd profit eur million,negative
adpnews jul finlandbased steel maker rautaruukki oyj ruukki hel rtrks say today slip net loss eur million usd first half net profit eur,negative
profit tax amount eurmarket neutraldown eurmarket neutrala year ago,negative
profit tax decrease percentage eurmarket neutralin first nine month compare eurmarket neutrala year earlier,negative
profit tax decrease eurmarket neutralfrom eurmarket neutralthe year,negative
profit tax eurmarket neutraldown eurmarket neutral,negative
company profit tax fell eurmarket neutralin third quarter compare eurmarket neutralin correspond period,negative
augustoctober company result tax total eurmarket neutralup eurmarket neutralin corresponding period,positive
finnish bore own rettig family grow recently acquisition small shipping company,positive
plan estimate generate eur million usd cost save annual basis,positive
finnish pharmaceutical company orion report profit tax eurmarket neutralin third quarter eurmarket neutralin corresponding period,positive
finnish sampo bank danish danske bank group report profit tax eurmarket neutralin eurmarket neutralin,positive
profit tax period eur eur last year,positive
profit tax eurmarket neutralup eurmarket neutrala year earlier,positive
august finnish measuring equipment maker vaisala oyj hel vaias say today net loss widen eur first half eur correspond period year earlier,negative
finnish power supply solution system provider efore oyj say net loss widen tomillioneuromillionfor first quarter fiscal end october euromillionfor period fiscal,negative
adp news apr finnish business information system developer solteq oyj hel stqv say today net loss widen eur usd first quarter eur peri,negative
salonen add data show producer pulp inventory north america decline,negative
elcoteq group recently announce last three month previous year bring major loss half billion kroon eurmillionfor fifth quarter run,negative
current year raute expect net sale increase operate result positive,positive
turnover surge eur eur due increase service demand especially third quarter overall growth business,positive
result company currently anticipate net sale increase operate result positive,positive
upm delivery increase third quarter percent efficiency operation improve chief executive jussi pesonen say,positive
global sport equipment maker amer sport corp whose brand include atomic salomon wilson saw percent increase thirdquarter net profit euro million million strong sale cost cut,positive
due rapid expansion market share tallink term passenger carriage tallinna sadam port tallinn total percent november percent november,positive
cash flow operation recent quarter also reach eight year low,negative
earnings per share eps amount eur loss eur,positive
earnings per share eps eur loss eur,positive
operating profit total eurmarket neutralup operate loss eurmarket neutralyearonyear,positive
operating profit total eurmarket neutralup loss eurmarket neutralin second quarter,positive
operate result include nonrecurring item rise eurmarket neutralfrom loss eurmarket neutralin,positive
tiimari finnish retailer report geenrated quarterly revenue total eurmarket neutralin quarter eurmarket neutralloss,positive
earnings per share eps amount eur loss eur,positive
operating profit total eurmarket neutralup loss eurmarket neutralin fourth quarter,positive
operating profit eurmarket neutralup loss eurmarket neutrala year earlier,positive
investment operational change enable additional optimisation work hour thereby cost saving percentage percentage,positive
shareholder full name code petri ailus born information please contact isto hantila ceo tel,neutral
september finnish stationery gift retailer tiimari hel tiiv say today net sale rise percentage yearonyear eur august driven growth finland demand baltic remain weak,positive
cet monday share bavarian nordic climb percentage dkk stock exchange copenhagen lose percentage past month,positive
example net sale increase percentage first quarter ebitda increase negative eurmarket neutralin first quarter,positive
growth rate pay national debt extremely painful,negative
customer satisfy basware invoice automation solution extend implementation new geography,positive
separate side business able fast expand develop tapro retail network,positive
accord viking line manage director nilserik eklund company board director satisfy viking line performance,positive
combine deep domain expertise application service management asm outsource service offering prove winning combination,positive
finnish construction company yit oyj say november amillioneuromillioncontract construct new office building local property company tapiola real estate,positive
major order india comptel corporation receive significant longterm order mediation provision solution use lead operator india,positive
olvi post strong set figure first six month year,positive
operating profit improve percentage eurmarket neutralfrom eurmarket neutralin,positive
standardise service meet positive reception among customer well itella,positive
performance second half exceed expectation,positive
ponsse project forest machine market improve expect previous year,positive
ragutis base lithuania secondlargest city kaunas boost sale last year per cent million liter,positive
raisio bid buy glisten winwin deal company chairman snack firm tell justfood today february,positive
aim annual improvement ruukki construction operating profit eur million usd start,positive
transaction positive impact around eurm earnings ruukki recognize fourth quarter year,positive
combine activity create value shareholder good employee customer,positive
trend sport leisure market favorable first month year,positive
january finnish solution provider affecto oyj hel afev say today eur usd contract stateowned lithuanian social insurance institution sodra,positive
finnish construction group lemminkinen award two road building contract lithuanian transport administration,positive
finnish flexible packaging manufacturer suominen corporation report net sale eurmarket neutralin first quarter compare eurmarket neutrala year earlier,positive
finnish metso paper award contract rebuild sabah forest industry sfi pulp mill sabah malaysia,positive
finnish outokumpu technology award several new grind technology contract,positive
finnish rautaruukki award contract supply install steel superstructure partihallsfrbindelsen bridge gothenburg sweden,positive
accord atrium president ceo matti tikkakoski company swedish operation significantly improve first quarter,positive
accord nordic financial group nordea analyst sami sarkamies make nokia portfolio competitive,positive
arvo vuorenmaa loviisa plant general manager say application new licence standard procedure quite confident approval grant,positive
basware ceo ilkka sihvo comment conjunction interim report whole basware succeed well second quarter,positive
cision say sale return operation profitability,positive
citigroup inc nyse announce global transaction service gts business award new mandate finlandbased pohjola bank group,positive
